DATE,City,Temperature_C,Humidity_pct,Wind_Speed_ms,Rainfall_3day,Rainfall_7day,Rainfall_14day,Rainfall_cumsum7,Month,Is_Monsoon,Flood,Flash_Flood
2023-12-03,Kuching,26.51,91.79,1.08,9.246666666666677,7.5571428571428525,8.98857142857143,52.89999999999997,12,1,0,0
2023-12-04,Kuching,26.69,91.06,1.03,7.870000000000009,7.077142857142853,8.536428571428571,49.53999999999997,12,1,0,0
2023-12-05,Kuching,26.25,89.57,0.78,8.270000000000008,8.08428571428571,8.020714285714286,56.58999999999997,12,1,0,0
2023-12-06,Kuching,27.46,86.18,0.75,10.176666666666677,9.159999999999997,8.044285714285715,64.11999999999998,12,1,0,0
2023-12-07,Kuching,27.09,88.5,0.63,14.75333333333334,11.501428571428566,9.236428571428572,80.50999999999996,12,1,0,0
2023-12-08,Kuching,27.61,85.72,0.64,12.656666666666675,10.467142857142852,9.22642857142857,73.26999999999997,12,1,0,0
2023-12-09,Kuching,27.35,89.89,0.73,17.91333333333334,12.697142857142852,10.609285714285715,88.87999999999997,12,1,0,0
2023-12-10,Kuching,27.35,86.59,0.57,17.243333333333343,14.928571428571425,11.242857142857142,104.49999999999997,12,1,0,0
2023-12-11,Kuching,26.68,89.54,0.69,20.58000000000001,15.914285714285711,11.495714285714286,111.39999999999998,12,1,0,0
2023-12-12,Kuching,27.62,85.5,0.72,15.87000000000001,15.954285714285708,12.019285714285715,111.67999999999996,12,1,0,0
2023-12-13,Kuching,28.01,83.82,0.47,14.89000000000001,16.948571428571423,13.054285714285713,118.63999999999996,12,1,0,0
2023-12-14,Kuching,27.56,87.84,0.81,20.410000000000007,18.338571428571424,14.92,128.36999999999998,12,1,0,0
2023-12-15,Kuching,27.38,87.31,0.79,20.07333333333334,19.132857142857137,14.799999999999999,133.92999999999995,12,1,0,0
2023-12-16,Kuching,27.75,86.66,0.87,15.703333333333342,16.001428571428566,14.349285714285713,112.00999999999996,12,1,0,0
2023-12-17,Kuching,27.89,86.27,0.9,7.17000000000001,14.021428571428567,14.475,98.14999999999996,12,1,0,0
2023-12-18,Kuching,27.67,87.1,0.56,5.163333333333343,12.525714285714281,14.219999999999999,87.67999999999996,12,1,0,0
2023-12-19,Kuching,26.77,92.23,0.84,13.71000000000001,15.075714285714282,15.514999999999999,105.52999999999997,12,1,0,0
2023-12-20,Kuching,27.62,83.44,0.7,14.946666666666678,14.045714285714283,15.497142857142858,98.31999999999998,12,1,0,0
2023-12-21,Kuching,27.5,88.22,0.79,16.423333333333343,10.817142857142853,14.577857142857143,75.71999999999997,12,1,0,0
2023-12-22,Kuching,27.53,88.65,0.96,8.433333333333342,10.087142857142853,14.61,70.60999999999997,12,1,0,0
2023-12-23,Kuching,26.79,92.89,0.78,8.056666666666676,10.768571428571425,13.385,75.37999999999998,12,1,0,0
2023-12-24,Kuching,26.66,92.13,1.18,10.976666666666675,12.448571428571425,13.235000000000001,87.13999999999997,12,1,0,0
2023-12-25,Kuching,27.0,90.82,0.88,11.206666666666676,12.677142857142854,12.60142857142857,88.73999999999998,12,1,0,0
2023-12-26,Kuching,27.79,82.84,0.49,10.920000000000009,9.572857142857137,12.324285714285713,67.00999999999996,12,1,0,0
2023-12-27,Kuching,27.39,87.55,0.81,6.566666666666674,8.857142857142852,11.45142857142857,61.99999999999997,12,1,0,0
2023-12-28,Kuching,27.48,89.73,0.79,5.0166666666666755,7.788571428571423,9.30285714285714,54.51999999999996,12,1,0,0
2023-12-29,Kuching,27.33,91.26,0.87,3.6533333333333418,7.52428571428571,8.805714285714286,52.669999999999966,12,1,0,0
2023-12-30,Kuching,27.17,92.51,0.8,5.666666666666675,7.832857142857138,9.300714285714283,54.82999999999997,12,1,0,0
2023-12-31,Kuching,27.2,92.59,0.87,9.640000000000008,7.215714285714282,9.832142857142857,50.50999999999997,12,1,0,0
2024-01-01,Kuching,28.11,85.12,0.66,9.210000000000008,6.668571428571425,9.672857142857143,46.67999999999997,1,1,0,0
2024-01-02,Kuching,26.54,94.03,0.87,13.02333333333334,8.73428571428571,9.153571428571428,61.13999999999997,1,1,0,0
2024-01-03,Kuching,28.13,83.45,0.68,10.036666666666674,8.702857142857138,8.78,60.919999999999966,1,1,0,0
2024-01-04,Kuching,27.76,86.54,0.66,15.430000000000007,11.131428571428568,9.459999999999999,77.91999999999997,1,1,0,0
2024-01-05,Kuching,26.51,89.75,0.7,9.606666666666674,11.285714285714281,9.405,78.99999999999997,1,1,0,0
2024-01-06,Kuching,27.72,86.01,0.77,15.726666666666674,13.014285714285709,10.42357142857143,91.09999999999997,1,1,0,0
2024-01-07,Kuching,25.76,94.83,1.18,18.57666666666667,14.961428571428568,11.088571428571429,104.72999999999998,1,1,0,0
2024-01-08,Kuching,26.86,86.56,0.81,21.896666666666675,16.722857142857137,11.695714285714287,117.05999999999996,1,1,0,0
2024-01-09,Kuching,27.82,85.0,0.79,16.35000000000001,14.439999999999996,11.587142857142856,101.07999999999997,1,1,0,0
2024-01-10,Kuching,27.44,90.55,0.98,12.21333333333334,15.894285714285711,12.29857142857143,111.25999999999998,1,1,0,0
2024-01-11,Kuching,27.63,90.32,0.86,14.800000000000006,16.452857142857138,13.792142857142858,115.16999999999997,1,1,0,0
2024-01-12,Kuching,27.37,88.86,0.67,26.770000000000007,21.79571428571428,16.540714285714284,152.56999999999996,1,1,0,0
2024-01-13,Kuching,27.29,89.65,1.11,27.320000000000004,20.862857142857138,16.93857142857143,146.03999999999996,1,1,0,0
2024-01-14,Kuching,26.98,90.44,0.78,25.783333333333342,19.541428571428565,17.251428571428573,136.78999999999996,1,1,0,0
2024-01-15,Kuching,26.59,93.26,1.23,17.04333333333334,19.715714285714284,18.219285714285714,138.01,1,1,0,0
2024-01-16,Kuching,26.1,94.76,1.06,28.343333333333344,26.002857142857142,20.221428571428568,182.01999999999998,1,1,1,0
2024-01-17,Kuching,25.88,92.13,0.79,32.05666666666667,28.045714285714286,21.970000000000002,196.32,1,1,0,0
2024-01-18,Kuching,26.56,92.94,0.96,39.19666666666667,30.171428571428567,23.312142857142856,211.19999999999996,1,1,0,0
2024-01-19,Kuching,26.51,91.36,0.96,26.116666666666674,25.72285714285714,23.759285714285713,180.05999999999997,1,1,0,0
2024-01-20,Kuching,26.57,89.29,0.68,21.680000000000007,25.628571428571426,23.245714285714286,179.39999999999998,1,1,0,0
2024-01-21,Kuching,27.03,88.6,0.79,15.87333333333334,25.92428571428571,22.732857142857142,181.46999999999997,1,1,0,0
2024-01-22,Kuching,27.2,88.56,0.89,14.730000000000006,24.73142857142857,22.22357142857143,173.11999999999998,1,1,0,0
2024-01-23,Kuching,26.85,91.92,0.94,11.550000000000006,18.43142857142857,22.217142857142857,129.01999999999998,1,1,0,0
2024-01-24,Kuching,26.61,88.18,0.9,5.196666666666673,14.412857142857138,21.229285714285712,100.88999999999997,1,1,0,0
2024-01-25,Kuching,26.95,87.72,1.12,3.110000000000007,9.265714285714282,19.71857142857143,64.85999999999997,1,1,0,0
2024-01-26,Kuching,27.0,90.39,1.08,8.12333333333334,10.719999999999995,18.22142857142857,75.03999999999996,1,1,0,0
2024-01-27,Kuching,27.22,89.08,1.21,13.666666666666673,10.978571428571424,18.303571428571427,76.84999999999997,1,1,0,0
2024-01-28,Kuching,26.66,91.32,1.22,26.660000000000007,13.888571428571424,19.90642857142857,97.21999999999997,1,1,0,0
2024-01-29,Kuching,26.75,89.74,1.21,25.36333333333334,15.277142857142852,20.004285714285714,106.93999999999997,1,1,0,0
2024-01-30,Kuching,26.3,91.87,1.1,27.900000000000006,17.985714285714284,18.208571428571428,125.89999999999998,1,1,0,0
2024-01-31,Kuching,26.56,92.14,0.84,17.25333333333334,19.05571428571428,16.734285714285715,133.38999999999996,1,1,0,0
2024-02-01,Kuching,27.0,91.53,0.72,15.23000000000001,20.471428571428564,14.868571428571428,143.29999999999995,2,0,0,0
2024-02-02,Kuching,26.89,91.66,0.94,12.50333333333334,19.86285714285714,15.291428571428572,139.04,2,0,0,0
2024-02-03,Kuching,26.94,90.06,1.03,12.166666666666677,18.41285714285714,14.695714285714285,128.88999999999996,2,0,0,0
2024-02-04,Kuching,27.0,88.73,1.0,9.476666666666674,13.107142857142852,13.497857142857143,91.74999999999997,2,0,0,0
2024-02-05,Kuching,27.02,87.47,0.75,4.706666666666674,11.009999999999996,13.143571428571429,77.06999999999998,2,0,0,0
2024-02-06,Kuching,27.75,85.38,0.78,3.590000000000007,7.99428571428571,12.99,55.95999999999997,2,0,0,0
2024-02-07,Kuching,26.94,89.32,0.63,3.7233333333333403,7.308571428571425,13.182142857142859,51.159999999999975,2,0,0,0
2024-02-08,Kuching,27.7,85.03,0.9,2.9333333333333402,5.739999999999996,13.105714285714285,40.17999999999997,2,0,0,0
2024-02-09,Kuching,27.37,87.54,1.22,2.580000000000007,3.7414285714285676,11.802142857142858,26.189999999999973,2,0,0,0
2024-02-10,Kuching,26.83,89.32,1.25,13.78333333333334,8.001428571428567,13.207142857142857,56.00999999999998,2,0,0,0
2024-02-11,Kuching,26.51,91.02,1.17,39.48000000000001,18.598571428571425,15.852857142857143,130.18999999999997,2,0,1,0
2024-02-12,Kuching,26.0,94.76,1.06,56.470000000000006,25.925714285714285,18.467857142857145,181.48,2,0,1,0
2024-02-13,Kuching,26.41,92.18,1.14,56.863333333333344,30.83285714285714,19.41357142857143,215.82999999999998,2,0,0,0
2024-02-14,Kuching,26.79,92.01,0.88,37.760000000000005,33.18571428571428,20.247142857142858,232.29999999999998,2,0,0,0
2024-02-15,Kuching,26.83,90.64,1.11,33.723333333333336,39.121428571428574,22.430714285714288,273.85,2,0,0,0
2024-02-16,Kuching,26.5,89.2,1.4,34.96000000000001,44.709999999999994,24.225714285714286,312.96999999999997,2,0,0,0
2024-02-17,Kuching,26.7,89.88,1.05,36.89000000000001,43.08857142857143,25.544999999999998,301.62,2,0,0,0
2024-02-18,Kuching,27.43,89.62,0.95,26.54333333333334,33.57714285714285,26.087857142857143,235.04,2,0,0,0
2024-02-19,Kuching,26.64,89.72,0.68,14.193333333333337,26.59142857142857,26.25857142857143,186.14,2,0,0,0
